"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"планет" 0 0 0 0 0
"планета" 0 0 0 0 0
"планету" 0.05 0.05 0 0 0
"планирует" 0 0 0 0 0
"планом" 0 0 0 0 0
"племянницей" 0 0 0 0 0
"племянницу" 0 0 0 0 0
"пленникам" 0 0 0 0 0
"пленников" 0 0 0 0 0
"плену" 0 0 0 0 0
"плохие" 0 0 0 0 0
"плохо" 0 0 0.05 0.1 0.15
"плохое" 0 0 0 0 0
"плохой" 0 0 0 0 0
"плывут" 0 0 0 0 0
"плюсах" 0 0 0 0 0
"плюсов" 0 0 0 0 0
"победил" 0 0 0 0 0
"победы" 0 0 0 0 0
"повелитель" 0 0 0 0 0
"повелительница" 0 0 0 0 0
"поверил" 0 0 0 0 0
"поверхностно" 0 0 0 0 0
"поверхностном" 0 0 0 0 0
"повествованию" 0 0 0 0 0
"повзрослевшей" 0 0 0 0 0
"повзрослеть" 0 0 0 0 0
"повстанческому" 0 0 0 0 0
"повсюду" 0 0 0 0 0
"повыше" 0 0 0 0 0
"пограничное" 0 0 0 0 0
"погружениям" 0 0 0 0 0
"погруженным" 0 0 0 0 0
"погрузчик" 0 0 0 0 0
"погубить" 0 0 0 0 0
"погуляв" 0 0 0 0 0
"подавление" 0 0 0 0 0
"подавляемыми" 0 0 0 0 0
"подала" 0 0 0 0 0
"подалидес" 0 0 0 0 0
"поданы" 0 0 0 0 0
"податливость" 0 0 0 0 0
"подачи" 0 0 0 0 0
"подборе" 0 0 0 0 0
"подброшенный" 0 0 0 0 0
"подвала" 0 0 0 0 0
"подводными" 0 0 0 0 0
"подготовленному" 0 0 0 0 0
"поддерживает" 0 0 0 0 0
"поддерживается" 0 0 0 0 0
"поддержке" 0 0 0 0 0
"поддержку" 0 0 0 0 0
"поделенное" 0 0 0 0 0
"подельница" 0 0 0 0 0
"подземную" 0 0 0 0 0
"подкачавшем" 0 0 0 0 0
"подключила" 0 0 0 0 0
"подлость" 0 0 0 0 0
"подобное" 0 0 0 0 0
"подобным" 0 0 0 0 0
"подобных" 0 0 0 0 0
"подогретая" 0 0 0 0 0
"подозревают" 0 0 0 0 0
"подойдет" 0 0 0 0 0
"подопечными" 0 0 0 0 0
"подпилили" 0 0 0 0 0
"подпольной" 0 0 0 0 0
"подрабатывающие" 0 0 0 0 0
"подразделений" 0 0 0 0 0
"подробно" 0.05 0.05 0.05 0 0
"подростком" 0.05 0.1 0.1 0.05 0.05
"подросток" 0 0 0 0 0
"подруги" 0 0 0 0 0
"подругой" 0 0 0 0 0
"подспудно" 0 0 0 0 0
"подставьте" 0 0 0 0 0
"подступиться" 0 0 0 0 0
"подтверждает" 0 0 0 0 0
"подхода" 0.05 0.05 0 0 0
"подчас" 0 0 0 0 0
"подчеркивает" 0 0 0 0 0
"подчёркивает" 0 0 0 0 0
"поедающего" 0 0 0 0 0
"поездка" 0 0 0 0 0
"пожарником" 0 0 0 0 0
"позволила" 0 0 0 0 0
"поздних" 0 0 0 0 0
"поздно" 0 0 0 0 0
"позже" 0 0 0 0 0
"позиционируется" 0 0 0 0 0
"познаётся" 0 0 0 0 0
"познакомил" 0 0 0 0 0
"поиска" 0 0 0 0 0
"поисками" 0.05 0.05 0 0 0
"поисках" 0 0 0 0 0
"поиске" 0 0 0 0 0
"поиски" 0 0 0 0 0
"пойти" 0 0 0 0 0
"покадровый" 0 0 0 0 0
"покажете" 0 0 0 0 0
"показавший" 0 0 0 0 0
"показанные" 0 0 0 0 0
"показательная" 0 0 0 0 0
"показать" 0 0 0.05 0.05 0.05
"показаться" 0 0.05 0.05 0.1 0.1
"показывающее" 0 0 0 0 0
"показывая" 0 0 0 0 0
"покинувшего" 0 0 0 0 0
"покинули" 0 0 0 0 0
"поклонника" 0 0 0 0 0
"поклонникам" 0 0 0 0 0
"поклонниками" 0 0 0 0 0
"поклоннику" 0 0 0 0 0
"покоем" 0 0 0 0 0
"поколение" 0 0 0 0 0
"покончил" 0 0 0 0 0
"покровителя" 0 0 0 0 0
"покровы" 0 0 0 0 0
"пол" 0 0 0 0 0
"пола" 0 0 0 0 0
"полагается" 0 0 0 0 0
"поле" 0 0.3 0.4 0.4 0.25
"полем" 0 0 0 0 0
"политики" 0 0 0 0 0
"политиков" 0 0 0 0 0
"политическая" 0 0 0 0 0
"политические" 0 0 0 0 0
"полицейских" 0 0 0 0 0
"полиции" 0 0 0 0 0
"полного" 0.05 0.05 0.05 0.05 0
"полном" 0 0 0 0 0
"полноправно" 0 0 0 0 0
"полноценной" 0 0 0 0 0
"полный" 0 0 0 0 0
"полов" 0 0 0 0 0
"половчее" 0 0 0 0 0
"положено" 0 0 0 0 0
"положим" 0 0 0 0 0
"полон" 0 0 0 0 0
"полсотни" 0 0 0 0 0
"полувека" 0 0 0 0 0
"получаем" 0 0 0 0 0
"получении" 0 0 0 0 0
"получившийся" 0 0 0 0 0
"получил" 0 0 0 0 0
"получит" 0 0 0 0 0
"получится" 0 0 0 0 0
"поль" 0 0 0 0 0
"пользуются" 0 0 0 0 0
"поля" 0 0.05 0.1 0.1 0.1
"поменяются" 0 0 0 0 0
"помешан" 0 0 0 0 0
"помог" 0 0 0 0 0
"помогают" 0 0 0 0 0
"помогло" 0 0 0 0 0
"помыслов" 0 0 0 0 0
"понижение" 0 0 0 0 0
"понимаем" 0 0 0 0 0
"понимаешь" 0 0 0 0 0
"понимании" 0 0.05 0.1 0.1 0.1
"понравится" 0 0 0 0 0
"понял" 0 0 0 0 0
"понятиями" 0 0 0 0 0
"понять" 0 0 0 0 0
"пообщаться" 0 0 0 0 0
"попадают" 0 0 0 0 0
"поправкой" 0 0 0 0 0
"попытка" 0 0 0 0.05 0.05
"попытки" 0.1 0.05 0.05 0.05 0.05
"попыток" 0.05 0 0 0 0
"пор" 0 0 0 0 0
"поражения" 0 0 0 0 0
"поровну" 0 0 0 0 0
"пороги" 0 0 0 0 0
"порождает" 0 0 0 0 0
"пороках" 0 0 0 0 0
"порочность" 0 0 0 0 0
"портной" 0 0 0 0 0
"портрет" 0 0 0 0 0
"порывисто" 0 0 0 0 0
"порядке" 0 0 0 0 0
"порядок" 0 0 0 0 0
"порядочные" 0 0 0 0 0
"посвятившего" 0 0 0 0 0
"посвященной" 0 0 0 0 0
"посвященные" 0 0 0 0 0
"посетил" 0 0 0 0 0
"последнее" 0 0 0 0 0.05
"последней" 0 0.05 0.05 0.05 0.05
"последнем" 0.05 0.05 0 0 0
"последнюю" 0.05 0.05 0.05 0 0
"последняя" 0 0 0 0 0
"последовательно" 0 0 0 0 0
"последовательного" 0 0 0 0 0
"последовательности" 0 0 0 0 0
"последователями" 0 0 0 0 0
"послужном" 0 0 0 0 0
"посмотреть" 0 0 0.05 0.05 0.05
"поспособствовал" 0 0 0 0 0
"пост" 0.05 0 0 0 0
"поставлен" 0 0 0 0 0
"поставленных" 0 0 0 0 0
"постановку" 0 0 0 0 0
"постановщика" 0 0 0 0 0
"постановщику" 0 0 0 0 0
"постарше" 0 0 0 0 0
"постепенно" 0 0 0 0 0
"посткарантинным" 0 0 0 0 0
"постояльцев" 0 0 0 0 0
"построен" 0 0 0 0 0
"построениях" 0 0 0 0 0
"посттравматическом" 0 0 0 0 0
"постучат" 0 0 0 0 0
"потенциала" 0 0 0 0 0
"потенциальных" 0 0 0 0 0
"потеряла" 0 0 0 0 0
"потерялась" 0 0 0 0 0
"потеряна" 0 0 0 0 0
"потерянного" 0 0 0 0 0
"потерянной" 0 0 0 0 0
"потеряться" 0.05 0.05 0.05 0.05 0
"потом" 0 0 0 0 0
"потомственный" 0 0 0 0 0
"потрачен" 0 0 0 0 0
"потрепала" 0 0 0 0 0
"потускнело" 0 0 0 0 0
"поучаствовавшем" 0 0 0 0 0
"похитили" 0 0 0 0 0
"похожего" 0 0 0 0 0
"похожи" 0 0 0 0 0
"похожих" 0 0 0 0 0
"почувствовали" 0 0 0 0 0
"пощекотать" 0 0 0 0 0
"появились" 0 0 0 0 0
"появился" 0 0 0 0 0
"правдоподобие" 0 0 0 0 0
"правдоподобный" 0 0 0 0 0
"правду" 0 0 0 0.05 0.05
"праведник" 0 0 0 0 0
"праведника" 0 0 0 0 0
"правило" 0 0 0 0 0
"правильно" 0.05 0.05 0 0 0
"правильном" 0 0 0 0 0
"правительственного" 0 0 0 0 0
"правительством" 0 0 0 0 0
"правительству" 0 0 0 0 0
"правым" 0 0 0 0 0
"правят" 0 0 0 0 0
"праги" 0 0 0 0 0
"прагматик" 0 0 0 0 0
"праздник" 0 0 0 0 0
"праздновать" 0 0 0 0 0
"праздности" 0 0 0 0 0
"практически" 0 0.05 0.15 0.15 0.2
"прахом" 0 0 0 0 0
"пребольшим" 0 0 0 0 0
"превосходят" 0 0 0 0 0
"превратила" 0 0 0 0 0
"превратилась" 0.1 0.1 0.1 0 0
"превратились" 0 0 0.05 0.05 0.05
"превратиться" 0 0 0 0 0
"превращает" 0 0 0 0 0
"превращающая" 0 0 0 0 0
"пределы" 0 0 0 0 0
"предоставленных" 0 0 0 0 0
"предотвратить" 0.05 0 0 0 0
"предсказуемой" 0 0 0 0 0
"представителю" 0 0 0 0 0
"представлен" 0 0 0 0 0
"представление" 0 0 0 0 0
"представлениями" 0 0 0.05 0.05 0.05
"представленный" 0 0 0 0 0
"представлял" 0 0 0 0 0
"представляющийся" 0 0 0 0 0
"предстает" 0 0 0 0 0
"предшественниками" 0 0 0 0 0
"предыдущая" 0 0 0 0 0
"предыдущим" 0 0 0 0 0
"прежняя" 0 0 0 0 0
"презентована" 0 0 0 0 0
"прекрасном" 0 0 0 0 0
"прекрасный" 0 0 0 0 0
"прекращается" 0 0 0 0 0
"прекрупных" 0 0 0 0 0
"прелесть" 0.05 0.05 0.05 0 0
"премий" 0 0 0 0 0
"преследователя" 0 0 0 0 0
"пресловутое" 0 0 0 0 0
"пресным" 0 0 0 0 0
"прессе" 0 0.05 0.05 0.05 0.05
"прибывают" 0 0 0 0 0
"прибывшие" 0 0 0 0 0
"привёз" 0 0 0 0 0
"привлекать" 0 0 0 0 0
"привлекла" 0 0 0 0 0
"привносит" 0 0 0 0 0
"приводит" 0 0 0 0 0
"привычного" 0 0 0 0 0
"привычных" 0.05 0.05 0.05 0 0
"приглашены" 0 0 0 0 0
"пригодна" 0 0 0 0 0
"придавливается" 0 0 0 0 0
"придает" 0 0 0 0 0
"придающего" 0 0 0 0 0
"придет" 0 0 0 0 0
"придётся" 0 0 0 0 0
"придумавшего" 0 0 0 0 0
"придумывая" 0 0 0 0 0
"приеме" 0 0 0 0 0
"приемлемого" 0 0 0 0 0
"приемная" 0 0 0 0 0
"приемных" 0 0 0 0 0
"приз" 0 0 0 0 0
"приземленный" 0 0 0 0 0
"признававшегося" 0 0 0 0 0
"призраков" 0 0 0 0 0
"приключениях" 0 0 0 0 0
"прилежно" 0 0 0 0 0
"приличный" 0 0 0 0 0
"применяют" 0 0 0 0 0
"примере" 0 0 0 0 0
"примером" 0 0 0 0 0
"примеру" 0 0 0 0 0
"примечательно" 0 0 0 0 0
"приму" 0 0 0 0 0
"принадлежит" 0 0 0 0 0
"принимает" 0.05 0 0 0 0
"принс" 0 0 0 0 0
"принсом" 0 0 0 0 0
"принципиальная" 0 0 0 0 0
"принципиальной" 0 0 0 0 0
"принята" 0 0 0 0 0
"приобрела" 0 0 0 0 0
"природе" 0 0 0 0 0
"природой" 0 0 0 0 0
"присоединиться" 0 0 0 0 0
"приспешниками" 0 0 0 0 0
"пристально" 0 0 0 0 0
"пристальном" 0 0 0 0 0
"пристраивает" 0 0 0 0 0
"присутствие" 0 0 0 0 0
"присущем" 0 0 0 0 0
"притормаживает" 0 0 0 0 0
"приукрашивать" 0 0 0 0 0
"причудливая" 0 0 0 0 0
"пришедшим" 0 0 0 0 0
"пришельцев" 0 0 0 0 0
"пришли" 0 0 0 0 0
"приятелей" 0 0 0 0 0
"приятнее" 0 0 0 0 0
"проблемах" 0 0 0 0 0
"провалом" 0 0 0 0 0
"проведения" 0 0 0 0 0
"проведенное" 0 0 0 0 0
"проверке" 0 0 0 0 0
"провинциальном" 0 0 0 0 0
"проводившая" 0 0 0 0 0
"проводящих" 0 0 0 0 0
"прогнившей" 0 0 0 0 0
"продажных" 0 0 0 0 0
"проделки" 0 0 0 0 0
"продолжилось" 0 0 0 0 0
"продуманные" 0 0 0 0 0
"продюсер" 0 0 0 0 0
"продюсированием" 0 0 0 0 0
"проектов" 0.05 0 0 0 0.05
"прожить" 0 0 0 0 0
"прозвания" 0 0 0 0 0
"прозябающий" 0 0 0 0 0
"произведения" 0.05 0.05 0.05 0 0
"производству" 0 0 0 0 0
"произошло" 0 0 0 0 0
"происходить" 0 0 0 0 0
"происходящего" 0 0 0 0 0
"происшествие" 0 0 0 0 0
"пройдете" 0 0 0 0 0
"пройтись" 0 0 0 0 0
"проклятием" 0 0 0 0 0
"проклятий" 0 0 0 0 0
"пролегал" 0 0 0 0 0
"променяешь" 0 0 0 0 0
"промышляет" 0 0 0 0 0
"пронзительный" 0 0 0 0 0
"пронзительных" 0.05 0.05 0.05 0.05 0
"прописан" 0 0 0 0 0
"пропорционально" 0 0 0 0 0
"проработанность" 0 0 0 0 0
"проработанными" 0 0 0 0 0
"проработанных" 0 0 0 0 0
"проработаны" 0 0 0 0 0
"проработки" 0 0 0 0 0
"прорисованы" 0 0 0 0 0
"просветленная" 0 0 0 0 0
"простая" 0 0 0 0 0
"пространству" 0 0 0 0 0
"просчитанность" 0 0 0 0 0
"протагониста" 0 0 0 0 0
"протагонистов" 0 0 0 0 0
"противится" 0 0 0 0 0
"противоречит" 0 0 0 0 0
"противостоят" 0 0 0 0 0
"профессионального" 0 0 0 0 0
"профессия" 0 0.05 0.05 0.05 0.05
"профильными" 0 0 0 0 0
"проход" 0 0 0 0 0
"проходят" 0 0 0 0 0
"проходящим" 0 0 0 0 0
"процентов" 0 0 0 0 0
"прочно" 0 0 0 0 0
"прошедшей" 0 0 0 0 0
"прошел" 0 0 0 0 0
"прошествии" 0 0 0 0 0
"прошло" 0 0 0 0 0
"прошлым" 0 0 0 0 0
"проще" 0 0 0 0 0
"проявил" 0 0 0 0 0
"проявляет" 0 0 0 0 0
"прояснить" 0 0 0 0 0
"проясняет" 0 0 0 0 0
"пружине" 0 0 0 0 0
"прямая" 0 0 0 0 0
"псевдоинтеллектуалами" 0 0 0 0 0
"психоаналитики" 0 0 0 0 0
"психоаналитиком" 0 0 0 0 0
"психоделически" 0 0 0 0 0
"психологизм" 0 0 0 0 0
"психологический" 0 0 0 0 0
"психологического" 0 0 0 0 0
"психологической" 0 0 0 0 0
"психопат" 0 0 0 0 0
"птср" 0 0 0 0 0
"пубертатном" 0 0 0 0 0
"публициста" 0 0 0 0 0
"пуританстве" 0 0 0 0 0
"путать" 0 0 0 0 0
"путешественником" 0 0 0 0 0
"путешествие" 0 0 0 0 0
"путь" 0 0 0 0 0
"пушистое" 0 0 0 0 0
"пущены" 0 0 0 0 0
"пфайффер" 0 0 0 0 0
"пытался" 0 0 0 0 0
"пятая" 0 0 0 0 0
"пяти" 0 0 0 0 0
"пятой" 0 0 0 0 0
"работавший" 0 0 0 0 0
"работающий" 0 0 0 0 0
"работниц" 0 0 0 0 0
"работой" 0.05 0 0 0 0
"работу" 0 0 0 0 0
"рабочих" 0 0 0 0 0
"равных" 0 0 0 0 0
"радд" 0 0 0 0 0
"радикально" 0 0 0 0.05 0.05
"радует" 0 0 0 0 0
"рады" 0 0 0 0 0
"раза" 0 0 0 0 0
"разбавляет" 0 0 0 0 0
"разбавляют" 0 0 0 0 0
"разбивает" 0 0 0 0 0
"разбогатевший" 0 0 0 0 0
"разборки" 0 0 0 0 0
"разбрасывал" 0 0 0 0 0
"развалин" 0 0 0 0 0
"развивается" 0 0 0 0 0
"развивающий" 0 0 0 0 0
"развить" 0 0.05 0.05 0.05 0.05
"разговаривает" 0 0 0 0 0
"разговор" 0 0 0 0 0
"разговорным" 0 0 0 0 0
"разговорных" 0 0 0 0 0
"раздается" 0 0 0 0 0
"разделял" 0 0 0 0 0
"разделяя" 0 0 0 0 0
"разжимается" 0 0 0 0 0
"различимы" 0 0 0 0 0
"различить" 0 0 0 0 0
"размахивающими" 0 0 0 0 0
"разминаются" 0 0 0 0 0
"разница" 0 0 0 0 0
"разногласия" 0 0 0 0 0
"разного" 0 0 0 0 0
"разной" 0 0 0 0 0
"разнообразные" 0 0 0 0 0
"разнородно" 0 0 0 0 0
"разносторонний" 0 0 0 0 0
"разночтений" 0 0 0 0 0
"разобщённость" 0 0 0 0 0
"разрабатывавшей" 0 0 0 0 0
"разрабатывая" 0 0 0 0 0
"разрешилась" 0 0 0 0 0
"разрушать" 0 0 0 0 0
"разрушаться" 0 0 0 0 0
"разрушен" 0 0 0 0 0
"разрушена" 0 0 0 0 0
"разрушение" 0 0 0 0 0
"рай" 0 0 0 0 0
"райское" 0 0 0 0 0
"раком" 0 0 0 0 0
"рамках" 0 0 0 0 0
"рамки" 0 0 0 0 0
"ранее" 0 0 0 0 0
"раненого" 0 0 0 0 0
"ранимого" 0 0 0 0 0
"раннем" 0 0 0 0 0
"рано" 0 0 0 0 0
"раньше" 0 0 0 0 0
"раскопанные" 0 0 0 0 0
"раскрывающую" 0 0 0 0 0
"раскрыты" 0 0 0 0 0
"раскусить" 0 0 0 0 0
"расово" 0 0 0 0 0
"распадающуюся" 0 0 0 0 0
"расплывчатый" 0 0 0 0 0
"расположены" 0 0 0 0 0
"распылить" 0 0 0 0 0
"рассеяли" 0 0 0 0 0
"рассказа" 0 0 0 0 0
"рассказывала" 0 0 0 0 0
"рассказывали" 0 0 0 0 0
"рассказывающая" 0 0 0 0 0
"расследовании" 0 0 0 0 0
"рассмотреть" 0 0 0 0 0
"расставить" 0 0 0 0 0
"рассталась" 0 0 0 0 0
"расстоянии" 0 0 0 0 0
"расстройстве" 0 0 0 0 0
"рассудка" 0 0 0 0 0
"рассчитывающего" 0 0 0 0 0
"растений" 0 0 0 0 0
"растения" 0 0 0 0 0
"растерял" 0 0 0 0 0
"растянутым" 0 0 0 0 0
"расхожему" 0 0 0 0 0
"рафинированного" 0 0 0 0 0
"рационализм" 0 0 0 0 0
"раэлем" 0 0 0 0 0
"реакции" 0 0 0 0 0
"реализована" 0 0 0 0 0
"реализуются" 0 0 0 0 0
"реалии" 0 0 0 0 0
"реальная" 0.1 0.1 0 0 0
"реальной" 0 0 0 0 0
"реальные" 0 0 0 0 0
"ребекка" 0 0 0 0 0
"ребенке" 0 0 0 0 0
"ребенком" 0 0 0 0 0
"ребячливого" 0 0 0 0 0
"революции" 0 0 0 0 0
"революционеров" 0 0 0 0 0
"революционной" 0 0 0 0 0
"региональная" 0 0 0 0 0
"региональные" 0 0 0 0 0
"регионы" 0 0 0 0 0
"регулировщика" 0 0 0 0 0
"редко" 0 0 0 0 0
"редкой" 0 0 0 0 0
"режиссёр" 0 0 0 0 0
"режиссерский" 0 0 0 0 0
"режиссеры" 0.1 0.1 0.1 0.1 0
"режиссуру" 0.05 0 0 0 0
"резко" 0 0 0 0 0
"резкости" 0 0 0 0 0
"резня" 0 0 0 0 0
"реинтерпретаций" 0 0 0 0 0
"рейда" 0 0 0 0 0
"рейтинг" 0 0 0 0 0
"рейчел" 0 0 0 0 0
"реквием" 0 0 0 0 0
"рекрутом" 0 0 0 0 0
"религиозный" 0 0 0 0 0
"ремейк" 0 0.05 0.05 0.05 0.05
"ремейков" 0 0 0 0 0
"репертуаре" 0 0 0 0 0
"репутация" 0 0 0 0 0
"ресурсах" 0 0 0 0 0
"ресурсозатратным" 0 0 0 0 0
"ретроспективно" 0 0 0 0 0
"референс" 0 0 0 0 0
"решив" 0.05 0.05 0 0 0
"решил" 0 0 0 0 0
"решительный" 0 0 0 0 0
"рид" 0 0 0 0 0
"ридли" 0 0 0 0 0
"рим" 0 0 0 0 0
"римейк" 0 0 0 0 0
"рифмуется" 0 0 0 0 0
"ричарда" 0 0 0 0 0
"ричардом" 0 0 0 0 0
"робко" 0 0 0 0 0
"ровно" 0 0 0 0 0
"рода" 0 0 0 0 0
"родину" 0 0 0 0 0
"родителями" 0 0 0 0 0
"роднила" 0 0 0 0 0
"родную" 0 0 0 0 0
"родственниками" 0 0 0 0 0
"родственники" 0 0 0 0 0
"родственницы" 0 0 0 0 0
"роду" 0 0 0 0 0
"рождественская" 0 0 0 0 0
"розали" 0 0 0 0 0
"розыске" 0 0 0 0 0
"ролей" 0 0 0 0 0
"романа" 0 0 0 0 0
"романов" 0 0 0 0 0
"романтического" 0 0 0 0 0
"роману" 0 0 0 0 0
"романцов" 0 0 0 0 0
"романцова" 0 0 0 0 0
"роскошной" 0 0 0 0 0
"россии" 0 0 0.05 0.1 0.1
"российским" 0 0 0 0 0
"россия" 0.05 0 0 0 0
"росту" 0 0 0 0 0
"роту" 0 0 0 0 0
"рук" 0 0 0 0 0
"руками" 0 0 0 0 0
"руки" 0.05 0.05 0 0 0
"руководителя" 0 0 0 0 0
"русле" 0 0 0 0 0
"русский" 0 0 0 0 0
"русской" 0 0 0 0 0
"рынке" 0 0 0 0 0
"рю" 0 0 0 0 0
"рядового" 0 0 0 0 0
"сай" 0 0 0 0 0
"сайдкик" 0 0 0 0 0
"салочки" 0 0 0 0 0
"сами" 0 0 0 0.1 0.1
"самобытнее" 0 0 0 0 0
"самодостаточное" 0 0 0 0 0
"самодостаточных" 0 0 0 0 0
"самозванца" 0 0 0 0 0
"самоконтроль" 0 0 0 0 0
"самолета" 0 0 0 0 0
"самолете" 0 0 0 0 0
"самому" 0 0 0 0 0
"самоопределения" 0 0 0 0 0
"самопожертвования" 0 0 0 0 0
"самостоятельное" 0 0 0 0 0
"самую" 0.05 0 0 0 0
"самые" 0 0 0 0 0
"сан" 0 0 0 0 0
"сапера" 0 0 0 0 0
"сараево" 0 0 0 0 0
"саспенс" 0 0 0 0 0
"сатирическое" 0 0 0 0 0
"сатиру" 0 0 0 0.05 0.05
"сатиры" 0 0 0.05 0.05 0.05
"саундтрека" 0 0 0 0 0
"сбой" 0 0 0 0 0
"сборщиков" 0 0 0 0 0
"сбывает" 0 0 0 0 0
"сварливого" 0 0 0 0 0
"свежего" 0 0 0 0 0
"свежеиспеченный" 0 0 0 0 0
"свежести" 0 0 0 0 0
"свежестью" 0 0 0 0 0
"свержения" 0 0 0 0 0
"сверхдинамичный" 0 0 0 0 0
"сверхнапряженный" 0 0 0 0 0
"сверхъестественными" 0 0 0 0 0
"свести" 0 0 0 0.05 0.05
"свет" 0 0 0 0 0
"свете" 0 0 0 0 0
"световыми" 0 0 0 0 0
"светские" 0 0 0 0 0
"свиданий" 0 0 0 0 0
"свидания" 0 0 0 0 0
"сводит" 0 0 0 0 0
"своем" 0 0.1 0.15 0.15 0.15
"своём" 0 0 0 0 0
"своеобразный" 0 0 0 0 0
"свой" 0 0.05 0.05 0.1 0.1
"свойственна" 0 0 0 0 0
"связаны" 0 0 0 0 0
"связи" 0 0 0 0 0
"связности" 0 0 0 0 0
"связность" 0 0 0 0 0
"связывают" 0.05 0.05 0 0 0
"святой" 0 0 0 0.05 0.05
"святых" 0 0 0 0 0
"сгустив" 0 0 0 0 0
"сдаваемый" 0 0 0 0 0
"сдаётся" 0 0 0 0 0
"сделавшей" 0 0 0 0 0
"сделали" 0 0 0 0 0
"сделан" 0 0 0.05 0.05 0.05
"сделанная" 0 0 0 0 0
"сделаны" 0 0 0 0.05 0.05
"сдержанно" 0 0 0 0 0
"сдерживающий" 0 0 0 0 0
"северной" 0 0 0 0 0
"северо" 0 0 0 0 0
"сезоне" 0 0 0 0 0
"сезону" 0 0 0 0 0
"сей" 0 0 0 0 0
"сейду" 0 0 0 0 0
"секреты" 0 0 0 0 0
"сексе" 0 0 0 0 0
"сексоголичный" 0 0 0 0 0
"сексуальности" 0 0 0 0 0.05
"селебритиз" 0 0 0 0 0
"семейного" 0 0 0 0 0
"семейной" 0 0 0 0 0
"семейную" 0 0 0 0 0
"семейные" 0 0 0 0 0
"семнадцатью" 0 0 0 0 0
"семью" 0 0 0 0 0
"сентиментального" 0 0 0 0 0
"сентиментальностью" 0 0 0 0 0
"серая" 0 0 0 0 0
"середине" 0 0 0 0 0
"серий" 0.05 0.05 0.05 0 0
"серую" 0 0 0 0 0
"серьёзно" 0 0 0 0 0
"серьезных" 0 0 0 0 0
"сестры" 0 0 0 0 0
"сети" 0 0 0 0 0
"сеула" 0 0 0 0 0
"сжимается" 0 0 0 0 0
"сиваной" 0 0 0 0 0
"сидни" 0 0 0 0 0
"сиквел" 0 0 0 0 0
"сиквелов" 0 0 0 0 0
"силам" 0 0 0 0 0
"силовиков" 0 0 0 0 0
"силы" 0 0 0 0 0
"сильвестр" 0 0 0 0 0
"сильное" 0 0 0 0 0
"сильную" 0 0 0 0 0
"сильные" 0 0 0 0 0
"символ" 0 0 0 0 0
"символами" 0 0 0 0 0
"символично" 0 0 0 0 0
"симона" 0 0 0 0 0
"синонимом" 0 0 0 0 0
"синопсису" 0 0 0 0 0
"система" 0.05 0 0 0 0
"системы" 0 0 0 0 0
"ситуаций" 0 0 0 0 0
"ситуацию" 0 0 0 0 0
"ситхами" 0 0 0 0 0
"сих" 0 0 0 0 0
"сицилию" 0 0 0 0 0
"скажи" 0 0 0 0 0
"сказано" 0 0 0 0 0
"сказка" 0 0 0 0 0
"скарсгард" 0 0 0 0 0
"скатываясь" 0 0 0 0 0
"складов" 0 0 0 0 0
"складывающийся" 0 0 0 0 0
"склеек" 0.05 0 0 0 0
"скобяных" 0 0 0 0 0
"скомканного" 0 0 0 0 0
"скомканным" 0 0 0 0 0
"сконструировали" 0 0 0 0 0
"скоростью" 0 0 0 0 0
"скоттом" 0 0 0 0 0
"скримеров" 0 0 0 0 0
"скромный" 0 0 0 0 0
"слабости" 0 0 0 0 0
"славой" 0 0 0 0 0
"слай" 0 0 0 0 0
"следить" 0 0 0 0 0
"следователь" 0 0 0 0 0
"следовать" 0 0 0 0 0
"следует" 0 0 0 0 0
"следующей" 0 0 0 0 0
"слезливо" 0 0 0 0 0
"слов" 0 0 0 0 0
"словам" 0 0 0 0 0
"словарный" 0 0 0 0 0
"сложно" 0.05 0 0 0 0
"сложнооспоримым" 0 0 0 0 0
"сломав" 0 0 0 0 0
"служащее" 0 0 0 0 0
"служили" 0 0 0 0 0
"слух" 0 0 0 0 0
"случается" 0 0 0 0 0
"случайной" 0 0 0 0 0
"слышали" 0 0 0 0 0
"слюни" 0 0 0 0 0
"см" 0 0 0 0 0
"смертельного" 0.05 0.05 0 0 0
"смертельную" 0 0 0 0 0
"смертельный" 0 0 0 0 0
"смех" 0 0 0 0.05 0.05
"смогла" 0 0 0 0 0
"сможет" 0 0 0 0 0
"смотавшемся" 0 0 0 0 0
"смотреть" 0 0 0 0 0
"смотрится" 0 0 0 0 0
"смущает" 0 0 0 0 0
"смысла" 0 0 0 0.05 0.05
"смыслы" 0 0 0 0 0
"снайдера" 0 0 0 0 0
"сначала" 0 0 0 0 0.05
"снимает" 0 0 0 0.05 0.05
"снимался" 0 0 0 0 0
"снявшего" 0 0 0 0 0
"снятая" 0 0 0 0 0
"снятые" 0 0 0 0 0
"соавтор" 0 0 0 0 0
"соавтора" 0 0 0 0 0
"собирательного" 0 0 0 0 0
"собирать" 0 0 0 0 0
"соблазнения" 0 0 0 0 0
"соблюдая" 0 0 0 0 0
"собрать" 0 0 0 0 0
"собственно" 0 0 0 0 0
"собственного" 0 0 0 0 0
"собственную" 0 0.05 0.05 0.05 0
"собственным" 0 0 0 0 0
"собственных" 0 0 0 0 0
"совершенно" 0 0 0 0 0
"советом" 0 0 0 0 0
"советы" 0 0 0 0 0
"совместительству" 0.05 0 0 0 0
"совмещать" 0 0 0 0 0
"современном" 0 0 0 0 0
